"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
11629,b,2," ",1,8445.4111328125,228.1347656,228.13426646688,2.1878919320407,63.321166653975%,6.6294104487687%,1.9999999999465E-6
11629,y,2," ",1,11782.44140625,232.1416931,232.14041515091,5.505069378634,88.341221539489%,9.2488854529674%,1.0000000000288E-6
11629,y,3," ",1,3336.5778808594,331.2102966,331.20882915091,4.4305856662364,25.016662981274%,2.6191198887358%,1.0000000000288E-6
11629,y,4," ",1,11096.84375,402.2472229,402.24594315091,3.1815090065865,83.200815374973%,8.71071055603%,1.0000000000288E-6
11629,y,5," ",1,3995.5634765625,501.315033,501.31435715091,1.3481542697241,29.957539875468%,3.1364050658622%,1.9999999999465E-6
11629,y,6," ",1,2965.4001464844,600.385376,600.38277115091,4.3386473032499,22.233683348075%,2.3277557962222%,1.9999999999465E-6
11629,y,7," ",1,1809.6545410156,699.4445801,699.45118515091,-9.443190674667,13.568248481423%,1.4205279688823%,1.9999999999465E-6
11629,y,10," ",1,2451.1000976563,1001.5767212,1001.5738231509,2.8934952412748,18.377615408947%,1.9240447081668%,2.0000000000575E-6
11629,y,11," ",1,2546.2111816406,1115.6212158,1115.6167531509,4.0001632089458,19.090729868966%,1.9987042367609%,2.0000000000575E-6
11629,z,13," ",1,1872.3110351563,1346.6636963,1346.660712082,2.2160132500482,14.038028133951%,1.469711556325%,1.9999999999465E-6
11629,y,13," ",1,9681.4716796875,1362.6843262,1362.6794361509,3.5885542566476,72.588778929117%,7.5996832485056%,2.9999999999752E-6
11629,y,14," ",1,13337.421875,1433.7147217,1433.7165501509,-1.2753224539367,100%,10.469501430692%,2.9999999999752E-6
11629,y,15," ",1,3153.8525390625,1532.7843018,1532.7849641509,-0.43212252493857,23.646643021573%,2.4756856294542%,3.0000000000863E-6
12216,y,7," ",2,1619.1192626953,397.2153625,397.21545780889,-0.23994256032371,9.6785958880719%,1.1333587771634%,1.9999999999465E-6
12216,y,4," ",1,6290.9462890625,420.2223816,420.22012415091,5.3720632622727,37.605337845245%,4.4035664065312%,2.9999999999752E-6
12216,y,5," ",1,8301.814453125,533.3053589,533.30418415091,2.2027749376254,49.625687916154%,5.8111434368143%,4.000000000004E-6
12216,y,7," ",1,1663.2574462891,793.4285889,793.42363915091,6.238469396115,9.9424403447963%,1.1642548321587%,4.000000000004E-6
12216,b,9," ",1,3079.2709960938,868.465271,868.46354046688,1.9926376185534,18.406932884882%,2.1554427095618%,5.9999999999505E-6
12216,y,8," ",1,1989.0120849609,907.4713745,907.46656915091,5.2953455854863,11.889701166782%,1.3922781084217%,4.000000000004E-6
12387,b,8," ",2,2411.2866210938,469.2562561,469.25376496688,5.3087120593985,23.644784905075%,2.3316910235244%,2.0000000000575E-6
12387,M,+6H," ",6,3045.3083496094,552.4597168,552.45918874755,0.9558216425425,29.86192527518%,2.9447839508301%,6.0000000000615E-6
12387,b,13," ",2,2083.83984375,727.3883667,727.38857896688,-0.29182047289004,20.433881418769%,2.0150531320621%,2.9999999999752E-6
12651,x,15," ",3,3494.4025878906,577.3098145,577.30462755734,8.9847585086392,5.3202563909658%,0.27245242938483%,2.9999999999752E-6
12762,y,1," ",1,1975.0949707031,175.1192627,175.11895115091,1.7790712482088,2.2663251945871%,1.2693757328125%,2.9999999999752E-6
12762,y,8," ",1,1592.8049316406,858.5446777,858.54071915091,4.6107878201374,1.8276660110955%,1.0236813709312%,3.0000000000863E-6
12836,a,1," ",1,8991.7158203125,86.0972366,86.096421847309,9.4632584434734,15.999910265127%,5.0701327257941%,4.000000000004E-6
12836,b,2," ",1,13873.545898438,242.1869049,242.18629646688,2.5122524680058,24.686666468337%,7.8228360958175%,2.0000000000575E-6
12836,y,3," ",1,1560.9884033203,317.2209473,317.21832915091,8.253460946012,2.7776316419619%,0.88019000449062%,2.0000000000575E-6
12836,b,3," ",1,4841.6611328125,341.2558899,341.25471046688,3.4561665666398,8.6152793534863%,2.7300534233103%,2.0000000000575E-6
