"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
306,y,6," ",1,114043.8671875,803.4284058,803.42574115091,3.3166090583033,45.976496880268%,4.8562653624468%,1.0999999999983E-5
393,y,1," ",1,120677.65625,147.113327,147.11280115091,3.5744618202976,4.364300939728%,0.85555465812382%,4.000000000004E-6
393,M,+2H," ",2,487725.03125,443.2249146,443.22487680889,0.085263955164642,17.638549490915%,3.4577686983337%,4.599999999999E-5
393,a,7," ",1,4689.3549804688,711.3373413,711.34203784731,-6.6023755931926,0.1695902703445%,0.033245586812068%,2.599999999997E-5
393,b,7," ",1,11279.59765625,739.338623,739.33695246688,2.2595017270902,0.40792604182621%,0.079967680981269%,2.5000000000053E-5
500,y,1," ",1,330996.53125,175.1195068,175.11895115091,3.1729809215995,14.254433374414%,5.6130266553977%,1.299999999993E-5
500,a,5," ",1,3453.3454589844,487.2478943,487.25108884731,-6.5562651005648,0.1487190291029%,0.058561701654014%,1.5999999999905E-5
526,y,1," ",1,180633.21875,147.1133118,147.11280115091,3.4711397443927,38.283028653808%,3.8049284603588%,4.000000000004E-6
526,b,1," ",1,6237.6279296875,157.1086273,157.10838646688,1.5329106637749,1.321989888773%,0.13139182371347%,5.0000000000328E-6
526,y,2," ",1,10994.395507812,204.1347046,204.13426515091,2.1527453545322,2.3301293149153%,0.23159022831794%,8.9999999999257E-6
526,y,3," ",1,6490.6850585938,261.15625,261.15572915091,1.9944004014534,1.3756222902992%,0.13672231762005%,1.400000000007E-5
526,M,+2H," ",2,168520.078125,372.7230225,372.72176480889,3.3743430750168,35.715794825814%,3.5497725492405%,4.6000000000102E-5
526,a,6," ",1,82063.4765625,570.3377686,570.33581384731,3.4273714599176,17.39236252564%,1.7286170267541%,2.6000000000082E-5
526,b,6," ",1,49247.25390625,598.3329468,598.33072846688,3.7075366770927,10.437360555611%,1.0373633337163%,2.599999999997E-5
644,y,1," ",1,7936.8330078125,147.1127014,147.11280115091,-0.67805730184662,4.7055928401167%,1.0728383050188%,2.0000000000575E-6
644,a,2," ",1,16073.228515625,203.0670471,203.06624184731,3.9654680348823,9.5295023778673%,2.1726518902324%,4.000000000004E-6
644,b,2," ",1,15102.581054688,231.0619965,231.06115646688,3.6355445192041,8.9540245093058%,2.0414474443611%,2.9999999999752E-6
644,y,2," ",1,5465.6694335938,275.1725159,275.17138115091,4.1237903675753,3.2404883569867%,0.73880596015538%,2.9999999999752E-6
644,b,3," ",1,3499.8107910156,360.1034546,360.10374646688,-0.81050775442999,2.0749692709618%,0.47307673894912%,4.000000000004E-6
644,y,3," ",1,3485.0322265625,404.2174377,404.21397115091,8.5760249234615,2.0662073495494%,0.47107908950596%,4.9999999999217E-6
644,y,4," ",1,9442.03125,533.2583618,533.25656115091,3.3767031145831,5.59799539721%,1.2762990971605%,5.9999999999505E-6
644,y,5," ",1,16956.01953125,662.3034668,662.29915115091,6.5161627995859,10.052891880753%,2.2919805967778%,5.9999999999505E-6
644,y,6," ",1,20808.5234375,791.3445435,791.34174115091,3.5412628263425,12.336965991916%,2.8127316012138%,5.9999999999505E-6
671,y,1," ",1,63861.75390625,147.1132355,147.11280115091,2.9524901136852,13.584468515419%,2.5568680050431%,4.000000000004E-6
671,y,2," ",1,276464.4375,234.1455841,234.14483015091,3.2200116933982,58.80863297875%,11.068958046685%,4.000000000004E-6
753,y,1," ",1,36866.515625,147.1132965,147.11280115091,3.3671379180291,5.6894806903295%,1.278654347983%,2.9999999999752E-6
940,y,1," ",1,4711.1850585938,147.1130981,147.11280115091,2.018512927982,0.04314549395569%,0.028474458469468%,1.9999999999465E-6
940,a,2," ",1,10644.123046875,173.1287537,173.12845084731,1.7492947550745,0.097479920841752%,0.064333206162063%,4.000000000004E-6
940,b,2," ",1,10535.787109375,201.1235504,201.12336546688,0.91950092708532,0.096487769720865%,0.063678422468634%,4.000000000004E-6
940,y,6," ",1,4719.6684570313,634.2821045,634.27909415091,4.7460953997609,0.043223185749041%,0.028525732230418%,8.000000000008E-6
940,y,7," ",1,9483.283203125,721.3144531,721.31112315091,4.6165225852794,0.086848835915322%,0.057317076354072%,8.000000000008E-6
940,y,8," ",1,14805.288085938,808.3469849,808.34315215091,4.7414876725191,0.13558827761581%,0.089483337098493%,9.0000000000368E-6
940,y,9," ",1,8758.5927734375,895.3786621,895.37518115091,3.8876988822997,0.080212050018577%,0.052937038786726%,8.000000000008E-6
940,y,10," ",1,27470.931640625,982.4077759,982.40721015091,0.57588043450038,0.25158148115955%,0.1660346372282%,8.9999999999257E-6
940,y,11," ",1,18405.12890625,1069.44104,1069.4392391509,1.6839190347326,0.16855597224519%,0.1112408177875%,9.0000000000368E-6
952,y,1," ",1,91242.90625,175.1194763,175.11895115091,2.9988135924338,20.828453365676%,3.0525023673631%,4.000000000004E-6
952,a,2," ",1,16855.283203125,188.1038666,188.10297184731,4.7567174627547,3.8476358830531%,0.56388813108543%,6.0000000000615E-6
952,b,2," ",1,13037.005859375,216.0984955,216.09788646688,2.8183205813179,2.9760195036536%,0.43614887868688%,4.9999999999217E-6
952,b,3," ",1,3666.7360839844,287.1362,287.13500046688,4.177592836281,0.83702333330171%,0.12266948781959%,8.000000000008E-6
952,y,2," ",1,3991.8742675781,303.1772461,303.17753115091,-0.94021119541162,0.91124417712081%,0.1335468821939%,8.000000000008E-6
952,c,3," ",1,37296.06640625,304.1626282,304.161549568,3.5462470602513,8.5137509510854%,1.2477280226748%,8.000000000008E-6
952,M,+2H," ",2,438068.5625,409.212616,409.21176780889,2.0727436813464,100%,14.655444231848%,2.9999999999974E-5
952,z,4," ",1,6219.3520507813,515.2668457,515.26981108202,-5.7550082602919,1.4197211539875%,0.20806644197038%,1.400000000007E-5
