"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
22552,b,9," ",1,13085.864257812,1017.5487061,1017.5475884669,1.09835955946,0.92928016579028%,0.31892906643503%,6.9999999999792E-6
22880,y,1," ",1,1397.6711425781,147.1130066,147.11280115091,1.3965412213696,1.7488093877707%,0.10970867567993%,2.000000000002E-6
23312,b,1," ",1,13181.443359375,129.1026917,129.10223646688,3.5261443447818,39.16535175353%,4.3854555421698%,2.000000000002E-6
23312,y,1," ",1,6320.1962890625,175.1195374,175.11895115091,3.3477192911547,18.778877552619%,2.102724192473%,2.000000000002E-6
23312,y,3," ",1,3068.4272460938,416.2587585,416.26159115091,-6.8049778533912,9.1170617015858%,1.0208632624861%,2.000000000002E-6
23312,x,11," ",2,2177.3369140625,642.8527832,642.85523710256,-3.8171930824282,6.4694103521336%,0.7243982298915%,3.0000000000308E-6
23970,b,1," ",1,19812.826171875,129.1027832,129.10223646688,4.2348849715937,9.591072122011%,2.6383936035931%,2.000000000002E-6
23970,y,1," ",1,1771.4476318359,147.1130524,147.11280115091,1.7078669498086,0.85752945339124%,0.23589648747691%,2.000000000002E-6
23970,M,+2H," ",2,206575.71875,701.8713989,701.87157380889,-0.2492035586127,100%,27.508849584586%,8.000000000008E-6
24022,a,1," ",1,3657.0495605469,129.1122589,129.11347184731,-9.3944287272698,0.29369383439405%,0.041640178857077%,4.000000000004E-6
24022,y,1," ",1,2346.8786621094,147.1130219,147.11280115091,1.5005430477333,0.18847537659003%,0.026722210248493%,1.0000000000288E-6
24022,M,+2H," ",2,502633.96875,912.9788208,912.97613680889,2.939826133453,40.366009575438%,5.7231295370421%,2.7999999999972E-5
24022,x,12," ",1,18530.59375,1351.6888428,1351.6977767382,-6.6094199477488,1.488172648998%,0.21099447117212%,1.4999999999987E-5
24222,y,1," ",1,1463.8050537109,147.1126556,147.11280115091,-0.98938303028556,4.3052323143371%,0.41205865149553%,9.9999999997324E-7
24222,a,2," ",1,1648.2888183594,173.129425,173.12845084731,5.6267625930178,4.8478219597423%,0.46399051980762%,2.000000000002E-6
24222,M,+2H," ",2,27128.798828125,700.4199219,700.42395030889,-5.7513865598263,79.789163910799%,7.6367110726061%,6.9999999999792E-6
24492,a,4," ",1,25322.3203125,386.2398987,386.23978984731,0.28182671461953,3.6319066192855%,0.28621209508172%,4.000000000004E-6
24492,b,4," ",1,354630.5,414.2351379,414.23470446688,1.0463467120396,50.863619307222%,4.0083032333643%,4.000000000004E-6
24492,z,7," ",1,4784.931640625,742.4039917,742.39679908202,9.6883741817997,0.68628880307766%,0.05408293129481%,6.9999999999792E-6
24492,x,11," ",1,4917.6567382813,1203.6221924,1203.6242267382,-1.6901772197165,0.70532517710557%,0.055583091145935%,1.0999999999983E-5
24492,z,13," ",1,539860.625,1388.7398682,1388.729413082,7.5285493940349,77.430636420046%,6.1019147782087%,1.2000000000012E-5
25197,y,1," ",1,2638.2546386719,147.1125183,147.11280115091,-1.9226804655301,18.902737034219%,1.8988112314781%,2.000000000002E-6
25197,z,11," ",1,3743.9753417969,1001.5839844,1001.575150082,8.8204244885705,26.825076060215%,2.694623303291%,2.000000000002E-6
27062,a,12," ",1,3624.673828125,1376.7408447,1376.7505538473,-7.0522196498183,5.0243284933%,0.95178190541887%,2.9999999999752E-6
27121,y,1," ",1,16699.439453125,175.1195831,175.11895115091,3.6086847645463,3.855389628192%,0.71975647589201%,1.0000000000288E-6
27121,y,10," ",1,2654.576171875,958.5548706,958.54686515091,8.3516512147936,0.61286041780147%,0.1144139236421%,8.000000000008E-6
27902,y,1," ",1,8281.5751953125,175.1194305,175.11895115091,2.7372770784905,6.7958713561296%,1.0513118082068%,1.0000000000288E-6
27902,c,20," ",2,25814.728515625,933.5159302,933.51523301744,0.74683576289579,21.183599731715%,3.2770732951251%,5.0000000000328E-6
27902,c,21," ",2,8809.9658203125,990.0534668,990.05726301744,-3.8343412855659,7.2294693889431%,1.1183888183537%,4.9999999999772E-6
31987,a,1," ",1,2547.1401367188,101.1076279,101.10732184731,3.0270081870443,0.53909285853699%,0.061794976566753%,4.000000000004E-6
31987,b,1," ",1,337052.125,129.1026306,129.10223646688,3.052876013553,71.335844825674%,8.1770640986325%,9.9999999997324E-7
31987,y,1," ",1,81681.0078125,147.1130829,147.11280115091,1.9151908520771,17.287485425339%,1.9816247606323%,9.9999999997324E-7
31987,a,2," ",1,3964.2116699219,216.1351318,216.13426184731,4.0250568493763,0.839010845998%,0.096173886829815%,2.000000000002E-6
31987,b,2," ",1,158330.953125,244.1294861,244.12917646688,1.2683167391186,33.510164943259%,3.8411932649904%,2.000000000002E-6
31987,a,3," ",1,26187.392578125,329.2190552,329.21832184731,2.2275573454866,5.5424654965226%,0.63532009385012%,2.9999999999752E-6
31987,b,3," ",1,80333.7421875,357.213623,357.21323646688,1.0820795019394,17.002341602069%,1.9489393788875%,2.000000000002E-6
32003,a,2," ",1,24782.771484375,199.1806183,199.18048184731,0.68507059398564,1.290967195591%,0.21808752179274%,2.000000000002E-6
32003,b,2," ",1,3391.7707519531,227.1765289,227.17539646688,4.9848405179988,0.17668180407092%,0.029847463922626%,2.000000000002E-6
32003,M,+2H," ",2,679974.1875,904.4660645,904.46487930889,1.3103782503594,35.42075068015%,5.9837490543947%,1.4999999999987E-5
32003,y,9," ",1,48072.3515625,1117.5534668,1117.5636481509,-9.1103096684447,2.5041520848963%,0.42303501146452%,8.000000000008E-6
32793,M,+2H," ",2,38788440,1067.0938721,1067.0867493089,6.6749878684423,82.079943281938%,14.397961317677%,2.4999999999997E-5
32793,a,17," ",1,190048.359375,1746.9035645,1746.9133088473,-5.5780371351837,0.4021599878295%,0.070544443828345%,1.4999999999987E-5
32793,a,19," ",1,243020.875,1959.0622559,1959.0657828473,-1.8003210200399,0.5142547531256%,0.090207421531722%,1.4999999999987E-5
33273,y,1," ",1,13553.125976562,147.1130524,147.11280115091,1.7078669498086,6.8251817438598%,0.51906388143636%,1.0000000000288E-6
33273,b,2," ",1,9876.490234375,215.1396942,215.13901646688,3.1502101857353,4.9736747786183%,0.37825438683949%,2.000000000002E-6
33273,y,2," ",1,19762.640625,278.1542358,278.15328115091,3.4320971769584,9.9522142889741%,0.75687874280691%,2.000000000002E-6
33273,b,3," ",1,18960.685546875,314.2078247,314.20743046688,1.254690636827,9.5483599185448%,0.72616509664816%,2.000000000002E-6
33273,a,4," ",1,10342.448242188,385.28125,385.28092984731,0.83095909040804,5.2083253008541%,0.39609986193798%,4.000000000004E-6
33273,y,3," ",1,33145.4765625,391.2371521,391.23734115091,-0.48321284579894,16.691640136535%,1.2694207776377%,3.0000000000308E-6
33273,b,4," ",1,8560.4873046875,413.2778625,413.27584446688,4.8830173552386,4.3109524527061%,0.32785349852439%,3.0000000000308E-6
33273,a,5," ",1,3429.478515625,442.3047485,442.30239384731,5.3236263782612,1.7270417316478%,0.1313437529247%,4.000000000004E-6
33273,b,5," ",1,20334.71484375,470.2964172,470.29730846688,-1.8951137140709,10.24030358444%,0.7787883055873%,3.9999999999485E-6
33273,y,4," ",1,8480.2626953125,504.3230896,504.32140115091,3.3479624047765,4.2705523604867%,0.32478101936342%,3.9999999999485E-6
33273,b,6," ",1,9226.4736328125,569.3704224,569.36572246688,8.2546822465825,4.646334691183%,0.35335975066562%,5.0000000000328E-6
33273,y,5," ",1,55731.41015625,591.3552856,591.35343015091,3.1376314000245,28.065628831001%,2.1344272991818%,5.0000000000328E-6
33273,b,7," ",1,2804.8854980469,626.3897705,626.38718646688,4.1252969039803,1.4125046375273%,0.10742280091829%,4.9999999999772E-6
33273,b,8," ",1,18901.38671875,697.4290161,697.42430046688,6.7614981552151,9.5184977834291%,0.72389404272713%,6.000000000006E-6
